ids,followers,monthly_listeners,popularity,num_releases,num_tracks,playlists_distintas,antiguedad,genero,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
7hmFAgrbDEAAIcGan0kxxM,451.0,368676.0,41.0,19.0,1.0,1.0,5.0,instrumental,0.971,0.174,0.006145,0.949,0.123,-35.9405,0.0446,137.6895,0.036199999999999996
7hr9W3IjXcm3UlLY7guLk5,339893.3333333333,9260470.0,68.66666666666667,3.0,1.0,2.0,1.0,country y folk,0.03482,0.5885,0.5635,0.0,0.1305,-4.9975000000000005,0.0291,120.84899999999999,0.10779999999999999
7hssUdpvtY5oiARaUDgFZ3,163448.0,2049451.0,58.0,20.0,1.0,1.0,5.0,pop,0.833,0.71,0.343,8.43e-06,0.0869,-9.309,0.0292,121.972,0.578
7i6bx5ASeX99tjQYqahDXL,163448.0,158123.0,42.0,15.0,4.0,1.0,6.0,latino y caribe,0.00605,0.67,0.868,0.64,0.0747,-5.37,0.0396,141.963,0.574
7i7ddOIQP0uI3ktGxI0zkM,24827.0,4051517.0,62.0,20.0,1.0,1.0,1.0,hip hop,0.135,0.806,0.954,0.0627,0.0793,-3.288,0.0785,145.012,0.258
7i9j813KFoSBMldGqlh2Z1,132427.2857142857,10439665.285714285,66.0,20.0,5.0,4.0,6.0,electronica,0.0076,0.824,0.862,0.000132,0.303,-3.424,0.126,122.98,0.801
7iA6sxOMDOu5MnyfmKQv6m,11459.0,292664.0,40.0,20.0,1.0,1.0,11.0,sin genero,0.117,0.789,0.757,0.0,0.0521,-4.098,0.0965,86.032,0.801
7iCr7BWLxsxFffDaIvUXdy,1705.0,42904.0,30.0,15.0,1.0,1.0,19.0,jazz,0.0581,0.705,0.728,0.0,0.241,-7.233,0.0475,123.802,0.725
7iK8PXO48WeuP03g8YR51W,14519859.0,44791908.75,86.5,20.0,1.0,3.0,8.0,latino y caribe,0.0967,0.7552,0.748,0.00033142,0.18924000000000002,-4.7044,0.07884,116.79659999999998,0.5354
7iKgSlIINjat3bsCYiNMYX,165951.42857142858,634389.1428571428,60.0,20.0,1.0,3.0,3.0,hip hop,0.391,0.649,0.5885,0.0,0.3495,-7.6495,0.4375,88.5675,0.537
7iMvwE8qANp3aIfAGKEAwS,710035.0,2374011.0,58.0,20.0,1.0,1.0,26.0,hip hop,0.0586,0.5995,0.881,2.035e-05,0.26849999999999996,-3.153,0.327,113.25550000000001,0.6315
7iUF39q93Xixo33E6IvNYm,35612.0,128479.0,33.0,20.0,3.0,1.0,18.0,rock,0.519,0.588,0.457,0.57,0.107,-12.165,0.0465,119.978,0.162
7iWiAD5LLKyiox2grgfmUT,2930645.0,4381653.0,67.0,20.0,2.0,1.0,18.0,rock,3.69e-05,0.422,0.888,0.00233,0.362,-5.725,0.0373,174.065,0.439
7iZtZyCzp3LItcw1wtPI3D,7358733.0,12523596.5,67.0,16.0,1.0,1.0,10.0,hip hop,0.0261,0.704,0.782,1.89e-06,0.234,-4.055,0.271,118.008,0.456
7icoOm5fKKPo49jVxoj1Cq,99340.0,489925.0,44.0,20.0,3.0,1.0,4.0,instrumental,0.0256,0.718,0.817,0.644,0.111,-8.027,0.0442,130.008,0.207
7ieMQQDR0bdBPz572mtxwS,885487.0666666667,470161.0,48.4,13.0,2.0,1.0,10.0,coreano,0.1148925,0.654,0.8594999999999999,4.2e-06,0.147225,-3.19225,0.22785,140.06775000000002,0.5565
7igkSEzzo4gyA5Bsah0ZdF,13.0,90050.0,29.0,2.0,1.0,1.0,0.0,otro,0.596,0.66,0.342,0.00119,0.186,-10.38,0.0316,109.993,0.106
