dates,ids,names,monthly_listeners,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,playlists_found,feat_track_ids,followers_zscore,monthly_listeners_zscore
2024-04-10,4odLDriBk6oEZotzLPTSnD,jessica audiffred,400799.0,45.0,163448.0,"dubstep, mexican edm",2021.0,2024.0,20.0,1.0,Heart Beats,"5caU54QlqCMPEKIbQ3nbhd, 5caU54QlqCMPEKIbQ3nbhd",-0.28843137814163006,-0.47490098458679975
2024-04-05,6QtgPSJPSzcnn7dPZ4VINp,king von,9593440.0,76.0,4272073.0,"chicago rap, rap",2019.0,2023.0,20.0,1.0,Out The Mud,7jVMNHk15YGRHRXYFoCXK8,0.16263428132267127,0.19901597634816318
2024-04-16,3g7vWifmj7qRmNwAR7K1Fc,zuzana kudová,86698.0,33.0,591.0,background piano,2019.0,2023.0,5.0,1.0,Focus Piano,"535EYYpCRKqg0Z9H0v3u1x, 535EYYpCRKqg0Z9H0v3u1x",-0.3063106443446488,-0.4979278809212299
2024-05-02,5Vuvs6Py2JRU7WiFDVsI7J,lucky daye,5235817.0,61.0,670751.0,"alternative r&b, r&b",2019.0,2024.0,20.0,1.0,Feel Good Dinner,0XDA8IPloCFvf8c0ZNzRnB,-0.23273708570968057,-0.12044347486507313
2024-05-07,4T6xiCykTP9rCNaEPU7D4q,vinxen,58219.0,33.0,74123.0,"k-rap, korean r&b",2018.0,2023.0,15.0,6.0,KrOWN,6x7c8C7ds3L4qTtXX7UEX8,-0.2982379290027207,-0.5000156901950248
2024-04-15,0fAevrRhdDPOCXbd7FYR8P,kiara leonard,1087719.0,52.0,1160.0,background piano,2021.0,2023.0,7.0,3.0,Peaceful Piano,5qowE02tRUQqFf3uTC8tgs,-0.3062481766431099,-0.4245425469185122
2024-04-10,3TVXtAsR1Inumwj472S9r4,drake,81843030.0,96.0,86269835.0,"canadian hip hop, canadian pop, hip hop, pop rap, rap",2009.0,2024.0,20.0,1.0,All The Feels,"6n3HGiq4v35D6eFOSwqYuo, 5Se32hEA9raeboZerywxka, 3cjF2OFRmip8spwZYQRKxP, 7JXZq0JgG2zTrSOAgY8VMC, 0AYt6NMyyLd0rLuvr0UkMH, 6n3HGiq4v35D6eFOSwqYuo, 5Se32hEA9raeboZerywxka, 3cjF2OFRmip8spwZYQRKxP, 7JXZq0JgG2zTrSOAgY8VMC, 0AYt6NMyyLd0rLuvr0UkMH",9.16476384805773,5.49566838794534
2024-04-02,4l7mkcB0cZgIQrcd2AsQI3,dk,54673.0,32.0,6768.0,k-pop ballad,2017.0,2024.0,20.0,2.0,노래방 인기가요 (Singing Room K-Pop),1BuA7GJXWD6P9LMShz7YSt,-0.30563250200298675,-0.5002756491712836
2024-04-06,1hQuWl1dueM7ChRUZRn05z,opus iii,1589296.0,53.0,18425.0,"ambient house, dream trance, hip house",1992.0,2023.0,3.0,1.0,Dance Party,6tifCCTIVBLC2TmTquYG7G,-0.3043527375094213,-0.3877716942859688
2024-05-02,1AQ1mXYDvS1dwO5EZjY5LH,mandy,4452.0,12.0,281.0,pop,2024.0,2024.0,4.0,1.0,Fresh Finds Rock,0QpkSDt5K2P0clLIrUb09Q,-0.3063446777145557,-0.5039573749881752
2024-04-09,50co4Is1HCEo8bhOyUWKpn,young thug,29400839.0,84.0,9714539.0,"atl hip hop, atl trap, gangster rap, melodic rap, rap, trap",2014.0,2023.0,20.0,13.0,RapCaviar,2FI2cZGlZ1nmRt2IkjnoMi,0.7601357606258538,1.6511059837906623
2024-05-07,0ONHkAv9pCAFxb0zJwDNTy,pusha t,5233608.0,68.0,2904390.0,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap, virginia hip hop",2011.0,2024.0,20.0,1.0,Gold School,3DK6m7It6Pw857FcQftMds,0.012483115340593565,-0.12060541772422595
2024-04-03,5H4yInM5zmHqpKIoMNAx4r,central cee,1127546.0,79.0,5105169.0,"melodic drill, r&drill",2021.0,2024.0,20.0,5.0,Hallyu Boy Bands,0rKWJnmo6Q0ovoPOLoLm0t,0.25409577918073123,-0.4216228102723017
2024-04-01,2zHZRicUVAYrE91sAwS4IJ,aisher rami,107044.0,38.0,79.0,ambient,2023.0,2023.0,7.0,2.0,Meditate to the Sounds of Nature,4Q9hxYb7d3kCBRAdPikAL2,-0.3063668542975273,-0.49643630581379533
2024-05-03,2rdSCmWgrIWA8pmwhS1T2k,vandelux,2601629.0,56.0,58258.0,stutter house,2022.0,2024.0,20.0,2.0,Heart Beats,"5muXOWzcV0ckxYq0ATO1EW, 1sDYbAOkanOKny7BQzvtRG, 6dB3JYkDHYOIiEG3WpIjde, 6V9azBbi4eDK5mPQc7KVaI, 1MQ2Wj7spgwcnj1QPkTAvh",-0.29997966904650697,-0.3135570720882594
2024-04-12,7oPftvlwr6VrsViSDV7fJY,green day,29539080.0,80.0,14696054.0,"modern rock, permanent wave, punk, rock",1994.0,2024.0,20.0,15.0,VOLUME,4NrGMEm5SvvpJ9Tk1Rq3cP,1.3070317047936248,1.6612404984091067
2024-04-10,4VhlhOe3FHkPzW4BsYR9EC,limestone quarry,108517.0,36.0,490.0,background piano,2018.0,2023.0,6.0,1.0,Classical Sleep,"54y634vST5xlwpSMwKcXoK, 54y634vST5xlwpSMwKcXoK",-0.30632173263613455,-0.4963283194708655
2024-04-06,0ukgrNYk51TkMQr0f2Br4Q,maverick sabre,4918904.0,63.0,269776.0,irish hip hop,2012.0,2024.0,20.0,3.0,Daily Lift,"62gzfhHi2supfHWfi6iHbA, 62gzfhHi2supfHWfi6iHbA",-0.2767581518336754,-0.14367652028050729
2024-04-11,3rJ3m1tM6vUgiWLjfV8sRf,jimmy cliff,3059445.0,59.0,777976.0,"reggae, roots reggae",1970.0,2023.0,20.0,4.0,Sin dato,"6IwTuQuQ4suJTQ43plwZef, 6IwTuQuQ4suJTQ43plwZef",-0.22096538219912418,-0.27999435954597685
2024-04-25,6g6zaR4B3WDZXphDRmsVGF,bang yongguk,86743.0,36.0,117320.0,k-rap,2011.0,2024.0,11.0,2.0,KrOWN,"7ph9Xo8TV9VFefeoJYdPt6, 24cIYHhNAm6GjqcsFDEhgy, 7ph9Xo8TV9VFefeoJYdPt6, 24cIYHhNAm6GjqcsFDEhgy",-0.2934955435837839,-0.49792458194945
2024-04-09,5CzHcOIcNE9WsNm9ZXZUkh,major tweaks,115841.0,35.0,958.0,house,2020.0,2024.0,14.0,1.0,Workday Lounge,"1N3vQGr7C8eSk9ApS671J7, 6rT6BWrpnlGhEFSKPLyyKZ, 5dCkryH3vx41J2FDsbmxqq",-0.3062703532260815,-0.49579139348606005
2024-05-05,6C1ohJrd5VydigQtaGy5Wa,joyner lucas,6392224.0,68.0,2217916.0,"boston hip hop, hip hop, pop rap, rap",2015.0,2024.0,20.0,1.0,Spilled Ink,"6R7huB68Jl4HRYzDj5UOV7, 6YnVpGLg1ZWcFmWTRQkV5G, 6kcjECjGff27bbXZ4fILFa",-0.06288147683199381,-0.03566671799575586
2024-04-12,0XqFDQJjqW5PfhfBCb53LR,sick individuals,1033577.0,51.0,192550.0,"big room, dutch house, edm, electro house, pop dance, progressive electro house",2015.0,2024.0,20.0,1.0,Night Rider,6vFGJHTdxHzmBy8wD4BeZ0,-0.2852364132028172,-0.42851172314316194
2024-04-24,0MBNzfGHTiPYag4DupDXUj,sarah kang,1121669.0,53.0,146317.0,nyc pop,2022.0,2024.0,20.0,1.0,Chill Pop,"2y8XtG31pTKikEHTkqbZFK, 2y8XtG31pTKikEHTkqbZFK",-0.29031210607671365,-0.4220536559867612
